x,y
2.876707,-2.331883
-3.156997,-1.841683
2.117337,2.101121
3.185743,-2.568602
-3.10226,-2.036221
2.781988,2.23709
-2.626907,-1.945033
3.551279,-2.328966
2.037829,2.29914
-2.870937,-2.335609
-1.787798,2.531566
-2.82052,3.329968
-2.180779,3.320118
-9.368373,-7.116857
3.212958,-2.574996
3.146679,4.404321
-3.019874,-2.059643
2.115932,2.245253
-1.716782,3.033404
-1.858301,2.438155
3.900381,-2.762501
2.88895,-3.013165
-2.143619,2.911113
3.337593,-2.511318
-1.96168,3.393765
-2.1381,2.254781
2.617544,0.974292
3.220946,-2.182062
-1.654006,3.01409
3.030098,-2.777915
2.156293,1.495195
-2.530164,3.290192
2.111113,1.58981
8.268673,8.049799
2.865407,-2.268518
3.057512,-2.724172
3.420945,-2.649312
-2.438511,-2.160195
-3.590567,-2.506489
-2.943036,-1.794822
-3.134116,-1.488494
-3.102617,-1.321969
2.442272,2.450955
-2.626472,-2.116021
3.065906,2.045859
2.084525,1.872859
2.280834,-2.566005
2.01794,2.515205
-1.93654,2.680995
-2.981396,-1.99997
9.181921,-1.957239
5.353221,7.862606
2.728636,1.903155
2.179695,1.929613
-1.991205,2.923022
-1.88226,2.679462
-2.774836,-2.138112
2.245397,-2.820294
-2.019227,3.396441
-2.705892,-2.604562
-3.039882,-2.294055
9.398638,-6.541454
2.59735,2.055342
-2.389623,-1.846352
-1.562935,2.619701
-2.321214,3.983349
-1.898069,3.515764
2.774695,2.095329
-2.831739,-1.843714
2.693362,-2.579259
-3.083361,-2.093236
-2.965183,-2.030135
-2.298816,3.160897
-3.255179,-2.228951
0.866184,-0.014395
-2.733953,-1.919776
2.81801,2.01088
-2.414445,3.030277
-1.990695,3.199688
-2.131231,3.130568
-3.244626,-2.354801
-2.685765,-1.429872
-1.7446,2.444516
-2.426957,2.709231
-1.410745,2.814158
-2.303868,2.427588
-1.868728,3.377245
2.100944,1.608162
-2.712815,-2.137809
-2.396717,-2.062832
3.517398,-2.815242
3.005138,-2.776495
-2.254105,2.90179
3.119969,1.965544
2.541396,-3.213205
-3.411815,-2.293112
-2.405113,2.662127
2.694454,1.782241
3.129146,2.312975
-1.634295,3.023795
-3.337791,-2.253829
2.867686,-2.386569
2.495213,0.750153
2.139215,1.980066
-2.254764,-2.450598
2.12115,1.947132
3.193151,-3.521006
3.03178,-2.288323
2.327473,-2.104853
-2.542899,-1.923216
2.977772,-2.243978
2.907858,2.576588
-2.781043,-2.108271
-2.136737,3.597048
-2.653646,-2.412406
-3.159244,-2.428962
3.087127,-2.203794
2.597502,2.004895
-1.917111,3.666018
-3.046838,-2.481214
3.427605,-2.274405
2.236885,2.138962
1.701742,1.476176
-2.485255,2.506511
3.01133,-2.448437
-2.921922,-1.498375
-2.188234,3.429947
3.321046,-2.975541
2.680394,1.797861
-1.812296,2.86503
2.401021,1.962836
2.778226,2.063127
-5.56524,4.680331
2.482081,1.972095
2.56442,2.33693
-2.13289,3.131932
6.389015,-0.027999
2.904204,-2.223381
-2.48157,2.78007
1.907813,1.993853
-2.060048,2.454216
-1.641277,2.942616
-1.650232,3.034095
1.799459,1.80989
-2.62015,-1.871714
-3.205659,-5.003478
2.9772,1.341721
-3.232928,-1.918744
2.709421,2.181881
-1.904155,2.894732
-1.201428,3.104129
-3.556349,-2.725544
-2.094825,2.674854
2.382109,2.216896
3.216687,-2.906319
-1.391123,2.831219
3.142542,-2.364529
0.103068,-5.303197
2.529267,1.805333
2.236488,1.686979
2.720646,-2.426015
2.250144,1.539109
2.895121,-2.925811
2.549582,-1.94601
-2.361339,3.808446
-3.179285,-2.28482
-2.657296,2.623832
-2.737342,-1.670802
3.3783,-2.603022
-2.014903,3.02751
-2.784407,-1.60486
3.060552,-3.149709
-3.100187,-1.841112
3.211748,-2.063476
-9.174939,-8.000963
3.407731,-2.17529
3.304788,-2.781584
-1.897473,2.443886
-3.12662,-2.329393
-1.195144,3.03176
2.44621,2.508918
3.146739,1.93904
-2.082756,2.451488
2.033064,-2.652145
3.083436,-2.531015
-3.082898,-1.938221
3.276638,-2.157145
2.504006,2.087076
2.552445,2.14391
0.648306,2.846348
2.313704,-2.252911
3.075284,-2.229611
2.986103,-2.345141
-2.227697,2.764026
2.538639,1.857083
2.181299,2.195492
-2.48674,3.503547
2.848495,2.370728
2.838105,-2.151206
2.030239,1.85757
-3.751551,-2.056933
3.244121,-1.702899
-2.003078,3.17962
-0.980014,2.378055
-1.219754,3.348422
3.063828,2.892265
-3.808536,-1.980976
2.845592,2.405128
2.45372,1.564528
-2.437171,3.143574
-1.775653,2.960391
3.211028,-2.545509
3.612599,2.29795
3.089831,-3.10007
-2.679434,-2.464237
-3.078351,-1.915126
-2.041778,2.43268
-1.63344,2.51081
2.388733,1.696548
3.156332,-2.100482
2.316515,-3.190842
-1.789072,2.936125
-2.849935,-1.462485
-1.580518,2.940364
2.764687,2.132595
-2.907699,-1.981637
2.967032,-2.888826
-3.506845,-2.023793
-2.487844,-2.416067
-3.214234,-2.049277
-2.05041,3.101514
-2.623316,-2.295981
-2.114557,2.948175
2.817461,-2.830384
-2.076029,2.926707
2.833219,1.211878
2.63401,0.723056
2.501048,2.119073
2.545767,2.288314
-2.187184,2.449615
-2.144252,2.367306
2.134235,1.642634
2.067815,2.504807
-2.136022,3.517088
-2.301144,-0.980148
2.097197,1.969243
-2.109324,3.475342
3.019774,-2.950146
-3.71756,-2.017051
3.021944,-2.462363
-2.935868,-2.428564
2.155195,1.698705
-3.088682,-2.055715
2.517298,-2.848017
-2.329186,2.814755
-2.588814,3.073602
8.807028,8.741254
-1.656482,2.59231
2.696754,-2.495136
2.748181,-2.742992
