x,y
-4.441588,5.825208
5.215027,9.006588
8.177933,-8.012207
-6.012189,5.983296
-6.020774,5.960334
-8.566452,5.553147
-8.251016,5.473068
-2.206876,-0.681228
-5.9214,-4.754017
6.107012,2.713677
-7.437288,3.905234
3.518304,7.880389
-5.730274,7.723666
3.533103,4.662416
5.746508,8.678636
4.281917,3.426236
8.696628,4.91667
-6.633679,5.883096
-7.340143,-5.28181
5.589465,3.099624
-6.047686,4.876084
-2.088907,-0.543985
-4.42036,6.064368
-0.474992,-0.818566
-2.146994,0.135138
-5.838549,-4.580979
3.888063,8.007517
-12.463096,-5.73317
-6.671639,5.708332
7.87979,8.193435
7.076663,8.454236
-0.452982,0.084617
5.927243,-7.426416
4.385476,8.727517
3.430492,-9.190056
-5.916574,6.293697
-1.420479,0.385361
-7.516492,-5.172318
-8.414754,-4.463845
6.986421,3.13526
8.423433,6.491852
-5.527822,4.762705
4.622077,-7.781158
4.013592,3.580786
-8.043306,4.594599
6.132316,-4.784854
3.302814,7.961726
6.06794,8.734997
-6.213892,3.37313
3.817341,-5.058539
3.723231,4.130328
3.489178,5.594925
-6.16899,-4.87582
-6.554465,5.100168
-4.528178,5.590731
6.177597,9.379478
7.211948,-4.357988
5.115269,3.106016
7.669116,-6.136303
8.361348,8.022356
6.544851,3.228037
5.663812,-6.233376
7.087129,-5.970336
-1.38101,0.810219
-6.721039,-4.741298
-1.163852,-4.348303
7.897975,-6.988657
7.87713,-4.893995
7.42806,3.325212
7.447861,-6.243173
-4.717269,-5.326286
1.725148,-0.162477
-0.042606,-0.962345
0.633182,0.974941
-4.44013,5.410054
7.638472,8.505511
7.914077,-4.654333
4.051408,-6.270138
-7.281867,-5.013962
3.485338,4.999299
-7.450683,7.453602
-3.283912,5.49428
7.257244,3.796071
3.554947,-2.724745
-7.139734,-5.293097
-6.604713,6.124385
3.076281,5.701838
-5.570181,-5.172976
-5.370767,-4.70081
4.429837,8.916614
-3.677345,-4.2841
8.481252,-9.335113
-6.692108,6.098811
-6.864481,3.539001
4.756448,8.715121
-5.268217,3.39262
5.750985,-3.457493
2.741282,-4.68804
3.482272,-8.598925
-7.028397,5.936776
2.954426,6.997399
-5.280662,-5.690787
5.968141,-5.199276
5.477034,-4.927791
4.250263,3.552087
-6.692225,4.97909
3.854911,3.686986
-7.939844,4.285023
-3.489457,-4.857608
9.037164,4.97121
6.429353,-6.855318
-3.851731,8.63578
6.871194,2.997715
-6.445955,5.7873
-11.302805,-6.339538
-5.740119,-4.990473
-7.481312,7.616765
-4.490587,-5.157002
-6.729457,7.962594
-6.623224,-4.837731
13.79174,11.559508
1.617926,0.512195
8.135765,8.207287
-5.339812,5.023907
-1.121799,-3.873008
7.998992,7.793534
4.079704,3.918402
-4.764157,5.568471
-0.953303,0.397745
-6.553176,6.430232
6.645327,-4.771318
-5.868714,7.830996
5.718952,-1.706414
-8.021251,6.421751
-4.337924,3.473615
-6.396912,6.21051
-11.402254,-6.308361
1.000872,0.96002
1.9274,0.759454
6.520018,-8.210507
7.85312,3.518242
-7.795333,4.74085
5.181112,-7.694238
-3.322146,7.969714
3.831351,8.325993
0.4723,0.594512
-6.841021,5.709438
5.804025,3.251726
-6.608814,-5.114349
-2.445163,-0.405771
7.869052,3.769115
11.232055,6.349187
1.245999,-0.965706
-5.581566,-5.397129
-3.447162,-4.403555
-5.253565,-5.118967
6.166475,-16.107704
-6.201527,3.178861
-8.306951,6.920786
6.983246,9.170612
-6.134953,-4.487352
6.985888,8.962274
-7.465887,7.209281
7.614502,8.411338
-5.620399,4.74245
8.994322,5.939303
7.103742,8.428743
5.167651,-7.724873
-5.876352,6.132098
-2.31859,-0.114809
1.016478,0.797719
-5.134826,5.113968
-9.97419,-5.724035
-4.296224,8.895419
-9.962086,-5.397349
-6.350123,5.249123
-5.040828,-4.851487
-6.564047,5.015363
-7.299199,3.868491
-5.729375,4.834795
-10.203878,-5.071172
-2.771786,5.877436
6.252248,-3.630983
1.234552,-0.70978
-2.089204,-0.301643
-5.68722,9.437829
8.404665,6.818205
-5.229085,9.489709
-5.465754,9.189932
4.594572,-7.841282
3.781787,4.1843
6.982714,8.908627
-6.227845,-5.090949
8.296803,7.790305
-6.602779,-4.298092
-7.377155,3.373623
7.432663,-9.567576
8.974472,6.238606
-4.577353,7.01483
14.892295,-9.328224
2.917024,5.63459
-4.468853,6.753533
-5.802671,6.158037
-6.837545,4.945469
-3.565151,-4.947248
-2.476984,-0.180159
5.728105,-3.673824
3.792478,4.408443
3.20032,8.11783
-5.595221,9.783288
8.470461,-5.803437
-6.040317,6.366451
-8.381168,4.835521
9.269048,5.445569
2.554874,4.498303
-9.643762,-5.823938
-6.731223,3.419696
-7.030882,3.34197
-1.239218,0.928151
-7.783514,4.2015
4.295975,-6.625595
7.26793,-5.760235
-5.839696,6.295957
7.153866,3.178269
-8.615408,-6.262095
-4.561429,7.208386
-7.190003,-5.40396
-3.250893,4.870732
4.663185,-2.515607
-4.836753,-4.941954
6.519274,2.904784
6.178853,-3.849442
-4.349586,-4.540254
-3.399182,8.165645
-6.944471,6.083816
-4.955379,5.068895
-7.672381,7.15315
-5.915733,6.226465
-5.861343,4.88386
7.030965,-6.925504
4.282996,3.588527
-8.734871,-5.220371
-3.481103,8.208968
1.873619,0.524523
